"Afghanistan","countries","","","1","","","AFG","http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Afghanistan","http://aims.fao.org/aos/geopolitical.owl#Afghanistan","Afghanistan","Afganistán",""
"Africa","countries","Africa is the world's second-largest and second most-populous continent, after Asia. At about 30.2 million km² (11.7 million sq mi) including adjacent islands, it covers 6% of the Earth's total surface area and 20.4% of the total land area.[2] With 1.0 billion people (as of 2009, see table) in 61 territories, it accounts for about 14.72% of the world's human population.","plain_text","0","","Africa is the world's second-largest and second most-populous continent, after Asia. At about 30.2 million km² (11.7 million sq mi) including adjacent islands, it covers 6% of the Earth's total surface area and 20.4% of the total land area.[2] With 1.0 billion people (as of 2009, see table) in 61 territories, it accounts for about 14.72% of the world's human population.","","","","Africa","",""
"Afrique du Sud","countries","","","521","","","","","","Afrique du Sud","",""
"Aland Islands","countries","","","7","","","","","","Aland Islands","Islas de Åland","Åland"
"Albania","countries","","","5","","","ALB","http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Albania","http://aims.fao.org/aos/geopolitical.owl#Albania","Albania","Albanie",""
"Algeria","countries","","","137","","","DZA","http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Algeria","http://aims.fao.org/aos/geopolitical.owl#Algeria","Algeria","Algérie",""
"American Samoa","countries","","plain_text","0","","","","","","American Samoa","",""
"Andorra","countries","","","10","","","AND","http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Andorra","http://aims.fao.org/aos/geopolitical.owl#Andorra","Andorra","Andorre",""
"Angola","countries","","","3","","","AGO","http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Angola","http://aims.fao.org/aos/geopolitical.owl#Angola","Angola","",""
"Anguilla","countries","","","4","","","","","","Anguilla","",""
"Antarctica","countries","","","22","","","","","","Antarctica","Antártida","Antarctique"
"Antigua and Barbuda","countries","","","31","","","ATG","http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Antigua_and_Barbuda","http://aims.fao.org/aos/geopolitical.owl#Antigua_and_Barbuda","Antigua and Barbuda","Antigua y Barbuda","Antigua-et-Barbuda"
"Argelia","countries","","","138","","","","","","Argelia","",""
"Argentina","countries","","","15","","","ARG","http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Argentina","http://aims.fao.org/aos/geopolitical.owl#Argentina","Argentina","Argentine",""
