"Abkhaz","languages","","","0",""
"Afar","languages","","","0",""
"Afrikaans","languages","","","0",""
"Akan","languages","","","0",""
"Albanian","languages","","","0",""
"Amharic","languages","","","0",""
"Arabic","languages","","","0",""
"Aragonese","languages","","","0",""
"Armenian","languages","","","0",""
"Assamese","languages","","","0",""
"Avaric","languages","","","0",""
"Avestan","languages","","","0",""
"Aymara","languages","","","0",""
"Azerbaijani","languages","","","0",""
"Bambara","languages","","","0",""
"Bashkir","languages","","","0",""
"Basque","languages","","","0",""
"Belarusian","languages","","","0",""
"Bengali, Bangla","languages","","","0",""
"Bihari","languages","","","0",""
"Bislama","languages","","","0",""
"Bosnian","languages","","","0",""
"Breton","languages","","","0",""
"Bulgarian","languages","","","0",""
"Burmese","languages","","","0",""
"BY","languages","","","0",""
"Catalan","languages","","","0",""
"Chamorro","languages","","","0",""
"Chechen","languages","","","0",""
"Chichewa, Chewa, Nyanja","languages","","","0",""
"Chinese","languages","","","0",""
"Chuvash","languages","","","0",""
"Cornish","languages","","","0",""
"Corsican","languages","","","0",""
"Cree","languages","","","0",""
"Croatian","languages","","","0",""
"Czech","languages","","","0",""
"Danish","languages","","","0",""
"Divehi, Dhivehi, Maldivian","languages","","","0",""
"Dutch","languages","","","0",""
"Dzongkha","languages","","","0",""
"English","languages","","","0",""
"Esperanto","languages","","","0",""
"Estonian","languages","","","0",""
"Ewe","languages","","","0",""
"Faroese","languages","","","0",""
"Fijian","languages","","","0",""
"Finnish","languages","","","0",""
"French","languages","","","0",""
"Fula, Fulah, Pulaar, Pular","languages","","","0",""
"Galician","languages","","","0",""
"Ganda","languages","","","0",""
"Georgian","languages","","","0",""
"German","languages","","","0",""
"Greek (modern)","languages","","","0",""
"Guaraní","languages","","","0",""
"Gujarati","languages","","","0",""
"Haitian, Haitian Creole","languages","","","0",""
"Hausa","languages","","","0",""
"Hebrew (modern)","languages","","","0",""
"Herero","languages","","","0",""
"Hindi","languages","","","0",""
"Hiri","languages","","","0",""
"Hungarian","languages","","","0",""
"Icelandic","languages","","","0",""
"Ido","languages","","","0",""
"Igbo","languages","","","0",""
"Indonesian","languages","","","0",""
"Interlingua","languages","","","0",""
"Interlingue","languages","","","0",""
"Inuktitut","languages","","","0",""
"Inupiaq","languages","","","0",""
"Irish","languages","","","0",""
"Italian","languages","","","0",""
"Japanese","languages","","","0",""
"Javanese","languages","","","0",""
"Kalaallisut, Greenlandic","languages","","","0",""
"Kannada","languages","","","0",""
"Kanuri","languages","","","0",""
"Kashmiri","languages","","","0",""
"Kazakh","languages","","","0",""
"Khmer","languages","","","0",""
"Kikuyu, Gikuyu","languages","","","0",""
"Kinyarwanda","languages","","","0",""
"Kirundi","languages","","","0",""
"Komi","languages","","","0",""
"Kongo","languages","","","0",""
"Korean","languages","","","0",""
"Kurdish","languages","","","0",""
"Kwanyama, Kuanyama","languages","","","0",""
"Kyrgyz","languages","","","0",""
"Lao","languages","","","0",""
"Latin","languages","","","0",""
"Latvian","languages","","","0",""
"Limburgish, Limburgan, Limburger","languages","","","0",""
"Lingala","languages","","","0",""
"Lithuanian","languages","","","0",""
"Luba-Katanga","languages","","","0",""
"Luxembourgish, Letzeburgesch","languages","","","0",""
"Macedonian","languages","","","0",""
"Malagasy","languages","","","0",""
"Malay","languages","","","0",""
"Malayalam","languages","","","0",""
"Maltese","languages","","","0",""
"Manx","languages","","","0",""
"Māori","languages","","","0",""
"Marathi","languages","","","0",""
"Marshallese","languages","","","0",""
"Mongolian","languages","","","0",""
"Nauru","languages","","","0",""
"Navajo, Navaho","languages","","","0",""
"Ndonga","languages","","","0",""
"Nepali","languages","","","0",""
"Northern","languages","","","0",""
"Northern","languages","","","0",""
"Norwegian","languages","","","0",""
"Norwegian","languages","","","0",""
"Norwegian","languages","","","0",""
"Nuosu","languages","","","0",""
"Occitan","languages","","","0",""
"Ojibwe, Ojibwa","languages","","","0",""
"Old Church Slavonic, Church Slavonic, Old Bulgarian","languages","","","0",""
"Oriya","languages","","","0",""
"Oromo","languages","","","0",""
"Ossetian, Ossetic","languages","","","0",""
"Pāli","languages","","","0",""
"Panjabi, Punjabi","languages","","","0",""
"Pashto, Pushto","languages","","","0",""
"Persian (Farsi)","languages","","","0",""
"Polish","languages","","","0",""
"Portuguese","languages","","","0",""
"Quechua","languages","","","0",""
"Romanian","languages","","","0",""
"Romansh","languages","","","0",""
"Russian","languages","","","0",""
"Samoan","languages","","","0",""
"Sango","languages","","","0",""
"Sanskrit","languages","","","0",""
"Saraiki,Seraiki,Siraiki","languages","","","0",""
"Sardinian","languages","","","0",""
"Scottish Gaelic, Gaelic","languages","","","0",""
"Serbian","languages","","","0",""
"Shona","languages","","","0",""
"Sindhi","languages","","","0",""
"Sinhala, Sinhalese","languages","","","0",""
"Slovak","languages","","","0",""
"Slovene","languages","","","0",""
"Somali","languages","","","0",""
"Southern","languages","","","0",""
"Southern","languages","","","0",""
"Spanish","languages","","","0",""
"Sundanese","languages","","","0",""
"Swahili","languages","","","0",""
"Swati","languages","","","0",""
"Swedish","languages","","","0",""
"Tagalog","languages","","","0",""
"Tahitian","languages","","","0",""
"Tajik","languages","","","0",""
"Tamil","languages","","","0",""
"Tatar","languages","","","0",""
"Telugu","languages","","","0",""
"Thai","languages","","","0",""
"Tibetan Standard, Tibetan, Central","languages","","","0",""
"Tigrinya","languages","","","0",""
"Tonga (Tonga","languages","","","0",""
"Tsonga","languages","","","0",""
"Tswana","languages","","","0",""
"Turkish","languages","","","0",""
"Turkmen","languages","","","0",""
"Twi","languages","","","0",""
"UA","languages","","","0",""
"Ukrainian","languages","","","0",""
"Urdu","languages","","","0",""
"Uyghur","languages","","","0",""
"Uzbek","languages","","","0",""
"Venda","languages","","","0",""
"Vietnamese","languages","","","0",""
"Volapük","languages","","","0",""
"Walloon","languages","","","0",""
"Welsh","languages","","","0",""
"Western","languages","","","0",""
"Wolof","languages","","","0",""
"Xhosa","languages","","","0",""
"Yiddish","languages","","","0",""
"Yoruba","languages","","","0",""
"Zhuang, Chuang","languages","","","0",""
"Zulu","languages","","","0",""
"ZW","languages","","","0",""
